Created on,29/11/2022
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Attorney General Chambers (2022), Tindak Malaysia (2022), RTM, NST, Sinar Harian, Berita Harian, Kosmo, Agenda Daily, Malaysiakini, The Malaysian Insight, Malaysian Gazette, The Star, Astro Awani, Utusan Borneo, Daily Express, Malay Mail, pru15.mca.org.my, calonkeadilan.org, DAP, PAS Negeri Perlis,Barisan Nasional Facebook Page, UMNO Online, Puteri Umno Tik Tok, Perikatan Nasional Perlis,  Mohd Fadzil Ramly Webpage, Tanjong Malim Kini Fb, Maju Perak"
,"For more complete list of links for age data, please check Malaysia_GE15_DUN_Candidate_Age_Source_Data"
Disclaimers,Intepretations for party allocations under coalition may vary among sources.There is a presence for missing data points for age attribute for candidates.  TindakMalaysia Network Services PLT is not responsible  for any errors or ommissions arising from the original data or its derivatives
,Correction was made for the winner for DUN Lepar (Pahang)
,"Corrections were made for rejected votes for following Perak DUNs (Temengor, Selama, Alor Pongsu, Pokok Assam, Aulong, Chenderoh, Canning, Kepayang, Buntong, Manong, Keranji, Tualang Sekah, Kampong Gajah, Pasir Panjang) and Pahang DUNs (Jelai, Batu Talam ,Tras, Pulau Tawar,Kerdau)"
,Correction was made for PAS candidate gender for DUN Kenering (Perak)
,Correction was made forall caandidate votes for DUN Jelai (Pahang)
,Correction was made forall candidate votes for DUN Pulau Tawar with exception of no change for Pejuang (Pahang)
,Correction was made for PRM candidate gender for DUN Lanchang (Pahang)
,"At the start of Nomination Day, there were 59 women ADUN candidates. With the passing of original PAS candidate for Tioman, the new replacement for PAS was woman candidate. For the whole DUN elections for GE15, 60 women ADUN candidates contested"
Attribute,
,
Field Name,Field Description
UNIQUE CODE,Composite of Parliamentary and State Constituency Code
STATE,State Name
PARLIAMENTARY CODE,"Parliamentary Constituency Code (2018 - present (for Peninsular Malaysia), 2019 - present (for Sabah))"
PARLIAMENTARY NAME,"Parliamentary Constituency Name (2018 - present (for Peninsular Malaysia), 2019 - present (for Sabah))"
STATE CONSTITUENCY CODE,"State Constituency Code (2018 - present (for Peninsular Malaysia), 2019 - present (for Sabah))"
STATE CONSTITUENCY NAME,"State Constituency Name (2018 - present (for Peninsular Malaysia), 2019 - present (for Sabah))"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using the Principal Electoral Roll that was updated until August 2022 which was gazetted on 15/9/2022 (updated until 9th October 2022)
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
